Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B
910.7126,970.4548,923.5502,910.7126,930.5873,890.1114,910.7126,899.7554,857.0063
918.675,970.282,923.4852,918.675,930.6237,890.1854,918.675,899.7675,856.9862
927.0889,970.4199,923.4875,927.0889,930.5857,890.1284,927.0889,899.7549,856.9512
935.9734,970.1215,923.4682,935.9734,930.6266,890.1038,935.9734,899.7319,856.9774
945.3481,970.2079,923.4111,945.3481,930.5223,890.0535,945.3481,899.6938,856.9719
955.2328,970.3379,923.4767,955.2328,930.5933,890.0286,955.2328,899.653,856.9655
965.6481,970.2631,923.4019,965.6481,930.5941,890.0884,965.6481,899.7375,856.9472
976.6151,970.3875,923.4012,976.6151,930.5687,890.0451,976.6151,899.6376,856.9833
988.1553,970.2522,923.4086,988.1553,930.5385,890.0163,988.1553,899.7427,856.9252
1000.2911,969.9078,923.3596,1000.2911,930.557,890.0491,1000.2911,899.6805,856.8859
1013.0452,970.0635,923.3773,1013.0452,930.5176,890.0396,1013.0452,899.6723,856.8544
1026.4408,970.2175,923.3554,1026.4408,930.5435,890.0295,1026.4408,899.7247,856.8285
1040.502,970.128,923.2605,1040.502,930.5205,889.9334,1040.502,899.6249,856.8191
1055.2531,970.2524,923.2151,1055.2531,930.5279,889.9079,1055.2531,899.564,856.7766
1070.7194,970.1076,923.2344,1070.7194,930.489,889.9186,1070.7194,899.5818,856.6044
1086.9263,970.1007,923.2286,1086.9263,930.4697,889.8162,1086.9263,899.4997,856.5801
1103.9004,969.9478,923.0824,1103.9004,930.4439,889.8192,1103.9004,899.5999,856.5523
1121.6683,970.1496,923.0922,1121.6683,930.4274,889.778,1121.6683,899.5002,856.4835
1140.2579,970.1148,923.0065,1140.2579,930.4343,889.7391,1140.2579,899.4736,856.4471
1159.6971,969.9048,922.923,1159.6971,930.3959,889.6096,1159.6971,899.4955,856.3932
1180.0148,970.3169,922.9155,1180.0148,930.3518,889.6253,1180.0148,899.5243,856.417
1201.2404,970.1703,922.937,1201.2404,930.3223,889.5322,1201.2404,899.4092,856.3383
1223.4039,970.0681,922.7351,1223.4039,930.3196,889.4193,1223.4039,899.3651,856.2585
1246.5363,969.613,922.6464,1246.5363,930.3167,889.3759,1246.5363,899.2998,856.1673
1270.6688,969.828,922.5366,1270.6688,930.2458,889.2964,1270.6688,899.2124,855.9028
1295.8336,969.1636,922.373,1295.8336,930.0862,889.1425,1295.8336,899.1862,855.7897
1322.0635,969.7645,922.1286,1322.0635,930.012,888.9792,1322.0635,898.9433,855.6584
1349.3917,969.4572,921.9927,1349.3917,929.8615,888.7347,1349.3917,898.849,855.5537
1377.8527,969.3201,921.727,1377.8527,929.7949,888.5834,1377.8527,898.6525,855.3041
1407.4811,968.6626,921.4118,1407.4811,929.611,888.2929,1407.4811,898.5597,854.9843
1438.3125,968.3328,921.0574,1438.3125,929.3736,887.8838,1438.3125,898.2804,854.603
1470.3833,967.3712,920.6402,1470.3833,929.0931,887.5446,1470.3833,898.0769,854.241
1503.7303,966.8077,920.0765,1503.7303,928.7357,886.9879,1503.7303,897.7363,853.6616
1538.3914,966.1992,919.3054,1538.3914,928.278,886.2698,1538.3914,897.1968,852.9628
1574.4049,965.9624,918.276,1574.4049,927.5916,885.3224,1574.4049,896.7646,852.1288
1611.8101,965.0162,916.9243,1611.8101,926.6802,884.0146,1611.8101,895.7163,850.8418
1650.6469,963.3153,915.1328,1650.6469,925.5521,882.2684,1650.6469,894.6274,849.2033
1690.9559,961.3159,912.6903,1690.9559,923.8433,879.9159,1690.9559,893.1882,846.8071
1732.7789,957.9959,908.7847,1732.7789,921.199,876.0469,1732.7789,890.7143,843.2004
1776.1578,953.3476,903.0673,1776.1578,917.0734,870.5281,1776.1578,886.8367,837.9049
1821.1359,946.827,895.4383,1821.1359,911.2153,863.1636,1821.1359,881.443,830.8559
1867.7567,936.6005,884.2268,1867.7567,901.9248,852.217,1867.7567,872.9053,820.4144
1916.0651,921.1646,868.6462,1916.0651,887.6832,816,1916.0651,859.9327,806.0139
1966.1063,903.3099,851.4998,1966.1063,870.5569,803.2164,1966.1063,844.155,790.2736
2017.9265,882.2637,831.6913,2017.9265,849.5167,780.3251,2017.9265,825.0329,771.9366
2071.573,857.5798,808.7895,2071.573,816,758.4372,2071.573,802.6772,750.7388
2127.0933,833.5766,786.0417,2184.5361,783.7935,734.9517,2127.0933,780.4465,729.9273
2184.5361,807.8544,761.1958,2243.9512,756.5076,710.5395,2184.5361,756.6233,707.4849
2243.9512,780.4788,735,2305.3887,731.0079,686.5345,2243.9512,731.5385,683.7009
2305.3887,735,686.3516,2368.8997,704.4125,661.3734,2305.3887,706.9906,660.626
2434.5366,700.7076,659.4877,2434.5366,677.1952,635.7903,2368.8997,681.0876,630
2502.3521,672.9132,633.7493,2502.3521,650.9499,610.9731,2434.5366,633,588.9432
2572.3999,644.8488,607.1382,2572.3999,624.2265,585.107,2572.3999,605.1533,564.1947
2644.7349,617.1823,580.9291,2644.7349,597.4565,544,2644.7349,579.3066,539.9846
2719.4126,590.1406,555.2892,2719.4126,570.524,512.6885,2719.4126,554.5247,516.4898
2796.4893,563.6783,529.9413,2796.4893,544,488.5669,2796.4893,530.1088,493.3978
2876.0225,537.1005,490,2958.0703,496.5517,465.6986,2876.0225,506.0818,470.6246
2958.0703,511.063,460.3628,3042.6919,472.0698,443.351,2958.0703,483.0397,448.8235
3042.6919,490,437.8198,3129.9478,449.3098,422.3942,3042.6919,460.5412,427.463
3219.8982,441.8552,416.4667,3219.8982,427.2246,402.0498,3219.8982,417.7865,387.7795
3312.6057,420.1671,396.3131,3312.6057,406.6101,382.7645,3312.6057,397.7541,369.1588
3408.1331,399.9636,377.3401,3408.1331,387.1375,364.4818,3408.1331,378.7257,351.6688
3506.5439,380.6215,359.1884,3506.5439,368.5356,347.1151,3506.5439,360.4048,335.6093
3607.9033,362.6565,342.2755,3607.9033,351.1603,330.7877,3607.9033,343.2813,315
3712.2771,345.6025,326.2427,3712.2771,334.5208,315.3003,3712.2771,316.5,288.067
3819.7314,329.4085,311.116,3819.7314,318.8302,300.9774,3930.3347,297.8997,275.4721
3930.3347,314.5246,296.9482,3930.3347,303.6891,288.1786,4044.1553,284.4137,263.1691
4044.1553,300.2228,283.4467,4044.1553,289.3447,272,4161.2627,271.9346,251.5433
4161.2627,286.9457,271.1392,4161.2627,272,248.9747,4281.728,260.048,240.7095
4281.728,274.1207,259.4746,4405.6226,255.0143,238.8121,4405.6226,248.7716,230.5889
4405.6226,262.7582,245,4533.0195,243.8904,229.0572,4533.0195,240.9365,220.9525
4533.0195,245,228.2811,4663.9917,233.6463,219.631,4663.9917,231.459,212.1722
4798.6152,232.2119,218.7595,4798.6152,224.2706,210.9779,4798.6152,219.9905,203.5433
4936.9644,223.0139,210.2967,4936.9644,215.3646,202.6757,4936.9644,211.4631,195.6999
5079.1172,214.1941,202.4314,5079.1172,207.0312,194.9609,5079.1172,203.5765,188.2723
5225.1514,205.8129,194.719,5225.1514,199.0388,187.6683,5225.1514,195.8127,181.215
5375.145,198.1253,187.4335,5375.145,191.7614,180.7153,5375.145,188.8701,174.5527
5529.1787,190.8561,180.6313,5529.1787,184.7471,174.3025,5529.1787,182.1455,168.2452
5687.3335,184.0166,174.2024,5687.3335,178.1785,168.0974,5687.3335,175.8348,162.2989
5849.6919,177.3959,168.0324,5849.6919,171.8573,162.1696,5849.6919,170.2077,156.6466
6016.3364,171.3813,162.1559,6016.3364,165.8826,156.6108,6016.3364,164.3174,151.2501
6187.3521,165.3328,156.6941,6187.3521,160.2345,151.2442,6187.3521,158.8593,146.1486
6362.8232,159.8003,151.4475,6362.8232,154.7769,146.1721,6362.8232,153.4872,141.2436
6542.8379,154.4813,146.4201,6542.8379,149.5208,141.2655,6542.8379,148.7406,136.5876
6727.4824,149.315,141.4647,6727.4824,144.6192,136.694,6727.4824,143.3614,132.0617
6916.8462,144.3994,136.9317,6916.8462,139.8528,132.2138,6916.8462,138.611,127.813
7111.019,139.6884,132.4532,7111.019,135.3087,127.9781,7111.019,134.1671,123.6539
7310.0918,135.1608,128.2527,7310.0918,130.8717,123.8625,7310.0918,129.6289,119.7295
7514.1567,130.8677,124.2037,7514.1567,126.6624,119.9076,7514.1567,125.3573,115.9217
7723.3071,126.7117,120.2176,7723.3071,122.6289,116.1569,7723.3071,121.244,112.2621
7937.6372,122.7271,116.4833,7937.6372,118.7922,112.5721,7937.6372,117.392,108.8654
8157.2432,118.8601,112.874,8157.2432,114.9512,109.0352,8157.2432,113.632,105.4071
8382.2217,115.0413,109.3423,8382.2217,111.3614,105.6748,8382.2217,110.0651,102.113
8612.6699,111.5769,105.9814,8612.6699,107.8823,102.4275,8612.6699,106.4587,99.0125
8848.6885,108.1115,102.7166,8848.6885,104.4973,99.2904,8848.6885,103.0587,96.0089
9090.377,104.7823,99.6065,9090.377,101.3092,96.3812,9090.377,99.7892,93.1148
9337.8359,101.5812,96.5673,9337.8359,98.2542,93.5584,9337.8359,96.736,90.3426
9591.1699,98.4565,93.7296,9591.1699,95.2408,90.7208,9591.1699,93.6189,87.643
9850.4814,95.4768,90.8826,9850.4814,92.3161,87.9936,9850.4814,90.7617,85.0927
10115.876,92.5906,88.1795,10115.876,89.4552,85.3829,10115.876,87.9421,82.5253
10387.4609,89.7896,85.5828,10387.4609,86.8021,82.8705,10387.4609,85.1449,80.0759
10665.3428,87.1324,83.1083,10665.3428,84.1937,80.4809,10665.3428,82.5527,77.7494
10949.6318,84.5107,80.6835,10949.6318,81.6002,78.0902,10949.6318,79.9311,75.4634
11240.4365,81.9955,78.3251,11240.4365,79.1326,75.8564,11240.4365,77.3833,73.3033
11537.8691,79.5643,76.0659,11537.8691,76.7868,73.6304,11537.8691,75.1805,71.2253
11842.042,77.1485,73.9059,11842.042,74.4716,71.4253,11842.042,72.6283,69.0601
12153.0684,74.8872,71.8079,12153.0684,72.2637,69.5549,12153.0684,70.368,67.1042
12471.0654,72.6868,69.6891,12471.0654,70.0873,67.5314,12471.0654,68.1573,65.323
12796.1484,70.5127,67.7043,12796.1484,67.9739,65.5203,12796.1484,65.8804,63.4326
13128.4346,68.3415,65.7709,13128.4346,65.9837,63.6358,13128.4346,63.7574,61.602
