Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
825.9644,898.9044,977.0505,825.9644,763.0359,939.2466,825.9644,834.5431,903.8635,825.9644,818.2554,884.1255
828.4838,898.9135,978.3574,828.4838,763.0421,939.3123,828.4838,834.5484,903.737,828.4838,818.2634,884.1251
831.1949,898.9128,977.9536,831.1949,762.9708,939.4695,831.1949,834.49,904.0207,831.1949,818.2554,884.1188
834.1088,898.8799,978.0665,834.1088,763.0949,939.2507,834.1088,834.5057,903.8217,834.1088,818.2515,884.0998
837.2363,898.8318,980.2045,837.2363,763.1422,939.1254,837.2363,834.5082,904.1085,837.2363,818.2492,884.09
840.5892,898.8464,979.2092,840.5892,763.0298,939.5045,840.5892,834.4617,903.6023,840.5892,818.2429,884.0859
844.1794,898.8528,978.3824,844.1794,763.1049,939.4656,844.1794,834.4764,904.1437,844.1794,818.234,884.0781
848.0192,898.8171,978.7922,848.0192,763.1622,939.3647,848.0192,834.4494,903.8808,848.0192,818.2366,884.0886
852.1216,898.8129,977.6607,852.1216,763.2056,939.2463,852.1216,834.4428,904.0099,852.1216,818.2283,884.0449
856.4996,898.8219,977.3234,856.4996,763.1717,939.1823,856.4996,834.4486,903.6935,856.4996,818.2204,884.0255
861.1669,898.79,978.3134,861.1669,763.2252,939.1855,861.1669,834.4681,903.9969,861.1669,818.2052,884.0627
866.1377,898.7869,978.7456,866.1377,763.1683,939.3273,866.1377,834.4239,903.8328,866.1377,818.2014,884.0327
871.4266,898.7686,978.7229,871.4266,763.1606,939.0025,871.4266,834.3969,903.8545,871.4266,818.1898,884.055
877.0485,898.7154,977.336,877.0485,763.2423,939.1222,877.0485,834.4026,903.7435,877.0485,818.1642,884.0096
883.0189,898.6767,978.7455,883.0189,763.1495,939.1338,883.0189,834.3613,903.7719,883.0189,818.1465,883.9987
889.3539,898.6624,978.3547,889.3539,763.2638,939.0635,889.3539,834.3509,903.7391,889.3539,818.1144,884.0023
896.0698,898.6415,978.7853,896.0698,763.2754,938.9286,896.0698,834.3641,903.8678,896.0698,818.1027,883.9415
903.1836,898.6748,977.6689,903.1836,763.3542,939.1435,903.1836,834.305,903.5698,903.1836,818.0589,883.9373
910.7126,898.6307,977.3268,910.7126,763.4031,938.7077,910.7126,834.2614,903.8285,910.7126,818.0422,883.8832
918.675,898.563,977.6457,918.675,763.4288,938.8069,918.675,834.2631,903.6456,918.675,818.0117,883.89
927.0889,898.5283,979.678,927.0889,763.4271,939.075,927.0889,834.2063,903.7435,927.0889,817.9852,883.834
935.9734,898.5278,977.0211,935.9734,763.6285,938.5151,935.9734,834.1993,903.5698,935.9734,817.9717,883.8354
945.3481,898.4728,977.0085,945.3481,763.6139,938.715,945.3481,834.0913,903.7348,945.3481,817.9617,883.765
955.2328,898.4395,977.6555,955.2328,763.5952,938.452,955.2328,834.0877,903.9488,955.2328,817.9368,883.7141
965.6481,898.3812,977.6509,965.6481,763.6839,938.432,965.6481,834.0278,903.572,965.6481,817.8984,883.6896
976.6151,898.35,977.9661,976.6151,763.6619,938.3315,976.6151,833.9855,903.65,976.6151,817.8517,883.6564
988.1553,898.2928,978.7518,988.1553,763.8198,938.5131,988.1553,833.9376,903.5958,988.1553,817.7927,883.613
1000.2911,898.2584,978.3191,1000.2911,763.6963,938.3152,1000.2911,833.9055,903.9423,1000.2911,817.7527,883.5726
1013.0452,898.2289,975.7093,1013.0452,763.8926,938.1048,1013.0452,833.8696,903.6392,1013.0452,817.6986,883.4671
1026.4408,898.1774,977.0316,1026.4408,763.8435,938.3157,1026.4408,833.8428,903.6392,1026.4408,817.6665,883.4343
1040.502,898.1462,978.3199,1040.502,763.975,938.1542,1040.502,833.807,903.5568,1040.502,817.6136,883.3645
1055.2531,898.1015,976.7208,1055.2531,763.9768,937.8942,1055.2531,833.7372,903.5568,1055.2531,817.5283,883.309
1070.7194,898.0223,977.2991,1070.7194,763.9975,937.9,1070.7194,833.6788,903.5112,1070.7194,817.4415,883.2433
1086.9263,897.9689,977.9735,1086.9263,764.0652,937.8254,1086.9263,833.5526,903.6348,1086.9263,817.3865,883.1707
1103.9004,897.8433,979.0799,1103.9004,764.0927,937.5466,1103.9004,833.4818,903.4745,1103.9004,817.2791,883.1213
1121.6683,897.7363,979.1234,1121.6683,764.1871,937.6581,1121.6683,833.3279,903.375,1121.6683,817.1589,883.063
1140.2579,897.6026,977.288,1140.2579,764.1569,937.5641,1140.2579,833.2395,903.5047,1140.2579,817.0825,882.9524
1159.6971,897.4478,976.185,1159.6971,764.204,937.2682,1159.6971,833.0464,903.0655,1159.6971,816.941,882.8803
1180.0148,897.2866,977.9811,1180.0148,764.4147,937.1865,1180.0148,832.9489,903.3641,1180.0148,816.8254,882.7795
1201.2404,897.1907,976.7177,1201.2404,764.7094,937.1208,1201.2404,832.816,902.9844,1201.2404,816.6235,882.5382
1223.4039,897.0272,976.1952,1223.4039,765.0961,937.1552,1223.4039,832.6254,902.8499,1223.4039,816.4759,882.3477
1246.5363,896.7523,977.9341,1246.5363,765.5275,936.9968,1246.5363,832.3268,902.1793,1246.5363,816.2412,882.1317
1270.6688,896.4248,976.1589,1270.6688,765.7518,936.962,1270.6688,832.0569,901.5092,1270.6688,815.9734,881.9785
1295.8336,896.1202,977.9307,1295.8336,765.8378,936.8406,1295.8336,831.8519,901.5847,1295.8336,815.7045,881.7357
1322.0635,895.8707,978.6469,1322.0635,765.9846,936.6221,1322.0635,831.4396,900.8005,1322.0635,815.3867,881.368
1349.3917,895.4113,976.6705,1349.3917,766.4367,936.5932,1349.3917,831.1193,899.9867,1349.3917,815.0156,881.0447
1377.8527,894.9551,975.6697,1377.8527,767.3027,936.3306,1377.8527,830.5374,898.8236,1377.8527,814.5349,880.8053
1407.4811,894.2236,975.8912,1407.4811,767.6927,935.8393,1407.4811,830.0292,897.7917,1407.4811,813.9484,880.1885
1438.3125,893.4521,974.725,1438.3125,768.2759,934.926,1438.3125,829.1895,896.8928,1438.3125,813.1735,879.8103
1470.3833,892.601,975.8901,1470.3833,769.4847,933.7628,1470.3833,828.3599,896.0558,1470.3833,812.3514,879.0027
1503.7303,891.454,973.9112,1503.7303,770.4409,932.989,1503.7303,827.2841,895.5907,1503.7303,811.2892,878.2264
1538.3914,889.876,974.1007,1538.3914,771.5706,932.5323,1538.3914,825.8381,895.3761,1538.3914,809.9152,877.2287
1574.4049,887.7638,973.8962,1574.4049,773.6718,931.812,1574.4049,823.9468,894.0187,1574.4049,808.048,875.8558
1611.8101,885.165,971.2198,1611.8101,776.1081,928.828,1611.8101,821.3426,891.3686,1611.8101,805.5826,874.3754
1650.6469,881.8718,968.3115,1650.6469,779.6295,927.8524,1650.6469,818.2333,888.3268,1650.6469,802.6188,872.1634
1690.9559,877.302,961.9476,1690.9559,784.785,924.3764,1690.9559,813.9991,883.8922,1690.9559,798.5182,869.3261
1732.7789,870.9019,957.8588,1732.7789,790.7354,921.2392,1732.7789,808.057,880.2764,1732.7789,792.7436,865.6098
1776.1578,862.5927,955.5297,1776.1578,798.7374,916.5336,1776.1578,800.2273,873.0115,1776.1578,785.1105,860.5024
1821.1359,852.5959,949.0942,1821.1359,807.3359,909.874,1821.1359,790.8997,862.3004,1821.1359,776.0408,853.9531
1867.7567,839.6277,939.9124,1867.7567,806.4778,901.6579,1867.7567,778.8828,851.3126,1867.7567,764.3034,845.064
1916.0651,823.8461,930.795,1916.0651,791.7935,888.6622,1916.0651,764.268,838.2507,1916.0651,750.0358,833.7679
1966.1063,807.0941,917.1804,1966.1063,775.4892,875.1285,1966.1063,748.8762,822.1063,1966.1063,734.9653,820.3952
2017.9265,788.1902,899.7059,2017.9265,757.9025,857.6528,2017.9265,731.6162,803.6192,2017.9265,697.9614,804.6307
2071.573,766.5765,881.6747,2071.573,737.7774,815.7943,2071.573,712.162,784.5516,2127.0933,680.6793,786.8741
2127.0933,735.2211,860.9771,2127.0933,717.6252,795.108,2127.0933,692.7526,763.2162,2184.5361,659.8929,767.9584
2243.9512,700.5267,837.9763,2184.5361,696.013,771.9742,2184.5361,672.1686,741.7289,2243.9512,638.498,747.2357
2305.3887,676.6684,815.7217,2243.9512,673.3342,747.0878,2243.9512,630.2726,719.0658,2305.3887,617.2873,724.3984
2368.8997,651.9642,788.4022,2305.3887,650.9958,720.1223,2368.8997,606.143,693.2944,2368.8997,595.1661,697.9614
2434.5366,626.9329,737.2132,2368.8997,627.7212,695.5345,2434.5366,581.9041,670.1194,2434.5366,572.5869,655.3956
2502.3521,602.7553,710.386,2434.5366,603.6792,671.4226,2502.3521,559.5795,630.2726,2502.3521,550.7239,631.7734
2572.3999,578.0146,683.5626,2502.3521,580.8358,648.3995,2572.3999,536.6116,595.5486,2572.3999,528.1894,610.0504
2644.7349,553.197,655.5297,2572.3999,543.8629,623.2668,2644.7349,513.8027,571.067,2644.7349,505.804,585.4536
2719.4126,529.4335,631.5432,2719.4126,511.1413,596.9149,2719.4126,491.6729,544.9069,2719.4126,484.0259,561.5169
2796.4893,490.1474,606.8607,2796.4893,488.0462,572.0172,2796.4893,469.9066,522.5213,2796.4893,462.5208,537.5138
2958.0703,462.1668,581.7888,2876.0225,465.7962,543.8629,2876.0225,448.4376,499.4799,2876.0225,441.3291,514.0174
3042.6919,438.7595,556.5234,2958.0703,444.4806,497.9252,2958.0703,427.8205,477.8991,2958.0703,420.902,490.7375
3129.9478,418.3042,530.7129,3042.6919,423.7953,475.7727,3042.6919,407.7198,456.3673,3042.6919,400.9297,468.5209
3219.8982,398.3584,491.4755,3129.9478,404.0352,454.2329,3129.9478,388.8131,436.3528,3129.9478,382.0504,446.5489
3312.6057,379.4685,464.5971,3219.8982,384.7819,432.7928,3219.8982,370.0972,415.5909,3219.8982,363.5771,426.5417
3408.1331,361.7656,440.3896,3312.6057,366.883,412.0079,3312.6057,353.0374,396.4282,3312.6057,348.9807,406.6142
3506.5439,344.6428,419.1347,3408.1331,349.5419,392.8637,3408.1331,335.6446,376.5865,3506.5439,314.0575,385.5337
3607.9033,328.7616,398.403,3506.5439,333.2686,374.9239,3506.5439,315.1363,357.5772,3607.9033,299.1696,368.632
3712.2771,313.5086,380.8087,3607.9033,318.1111,358.609,3712.2771,291.6884,341.1266,3712.2771,285.2549,348.9807
3819.7314,299.4106,362.8514,3712.2771,302.5406,338.9648,3819.7314,277.3018,315.1363,3819.7314,272.0226,315.9933
3930.3347,286.1496,345.963,3819.7314,288.6337,324.3744,3930.3347,265.0674,300.3792,3930.3347,259.6496,300.7347
4044.1553,272.7543,331.0588,3930.3347,271.9314,306.6547,4044.1553,253.272,284.316,4044.1553,247.9836,287.4203
4161.2627,260.7904,314.6823,4161.2627,250.0547,291.7355,4161.2627,242.1576,272.1872,4161.2627,237.1428,275.2277
4281.728,245.0737,300.646,4281.728,239.2056,284.7022,4281.728,231.615,259.0143,4281.728,226.8228,263.0461
4533.0195,229.4975,286.6048,4405.6226,228.9069,271.9314,4405.6226,221.8934,249.3997,4405.6226,217.1924,251.3769
4663.9917,219.7,274.9956,4533.0195,219.6369,252.6313,4533.0195,212.8875,236.7766,4533.0195,208.215,241.1703
4798.6152,209.7021,261.1395,4663.9917,210.7097,238.9799,4663.9917,204.3455,227.582,4663.9917,199.7962,231.6902
4936.9644,201.8375,245.7377,4798.6152,202.3094,228.4908,4798.6152,196.2455,218.4841,4798.6152,191.7265,221.8384
5079.1172,194.5954,231.1607,4936.9644,194.5737,219.2876,4936.9644,188.6783,210.4455,4936.9644,184.2659,212.9107
5225.1514,187.1317,227.8037,5079.1172,187.222,211.7098,5079.1172,181.5149,202.4919,5079.1172,177.1954,204.4505
5375.145,180.3422,214.7768,5225.1514,180.2785,203.6295,5225.1514,174.729,195.4344,5225.1514,170.4526,196.6092
5529.1787,173.9223,206.1213,5375.145,173.6759,194.9519,5375.145,168.3698,188.1063,5375.145,164.1459,189.2724
5687.3335,167.8366,198.8376,5529.1787,167.4401,187.934,5529.1787,162.2617,181.0859,5529.1787,158.1261,182.2283
5849.6919,161.8396,192.5676,5687.3335,161.5346,180.3395,5687.3335,156.5391,174.6557,5687.3335,152.4445,175.5235
6016.3364,156.2339,185.8354,5849.6919,155.9907,173.8789,5849.6919,151.0946,169.3209,5849.6919,147.0047,169.1979
6187.3521,150.9516,179.5183,6016.3364,150.6262,168.7154,6016.3364,145.8785,163.0146,6016.3364,141.8862,163.2033
6362.8232,145.8365,173.4321,6187.3521,145.4534,163.5191,6187.3521,140.9976,157.9836,6187.3521,136.9665,157.5141
6542.8379,141.0695,166.4576,6362.8232,140.6192,158.5447,6362.8232,136.2753,152.3856,6362.8232,132.2745,152.1753
6727.4824,136.4934,161.2977,6542.8379,136.0101,153.2386,6542.8379,131.7114,147.9691,6542.8379,127.7769,146.8985
6916.8462,131.979,156.4787,6727.4824,131.6192,148.4653,6727.4824,127.4068,143.3144,6727.4824,123.4636,142.1553
7111.019,127.7857,151.4259,6916.8462,127.299,143.6139,6916.8462,123.3252,138.7434,6916.8462,119.3451,137.5416
7310.0918,123.6638,146.8911,7111.019,123.1503,139.1522,7111.019,119.3355,134.3727,7111.019,115.3742,132.8891
7514.1567,119.7523,142.4106,7310.0918,119.2425,134.7871,7310.0918,115.6359,129.8067,7310.0918,111.5584,128.528
7723.3071,116.0011,138.1432,7514.1567,115.5906,131.1397,7514.1567,112.0579,126.1904,7514.1567,107.9208,124.3538
7937.6372,112.4174,133.9067,7723.3071,111.9198,127.193,7723.3071,108.5617,121.9721,7723.3071,104.4147,120.4099
8157.2432,108.9808,129.881,7937.6372,108.4126,123.234,7937.6372,105.0571,118.7459,7937.6372,101.0001,116.5546
8382.2217,105.5955,126.0651,8157.2432,105.0505,119.3252,8157.2432,102.0295,115.085,8157.2432,97.7846,112.8798
8612.6699,102.2982,122.3712,8382.2217,101.7966,115.8608,8382.2217,98.8834,112.0062,8382.2217,94.575,109.272
8848.6885,99.2463,119.1682,8612.6699,98.7493,112.6815,8612.6699,95.883,108.8779,8612.6699,91.5259,106.0058
9090.377,96.2455,115.7357,8848.6885,95.7557,109.6191,8848.6885,93.051,105.2559,8848.6885,88.6752,102.5134
9337.8359,93.2918,112.3353,9090.377,92.9829,106.2133,9090.377,90.1378,102.0662,9090.377,85.8565,99.5485
9591.1699,90.6276,109.7205,9337.8359,90.0313,103.2636,9337.8359,87.5166,99.7278,9337.8359,83.0269,96.0843
9850.4814,87.9472,106.6642,9591.1699,87.4698,100.5268,9591.1699,84.851,96.7046,9591.1699,80.4082,93.1166
10115.876,85.2624,103.4723,9850.4814,84.9531,97.6712,9850.4814,82.5179,93.8415,9850.4814,77.8135,90.1627
10387.4609,82.7542,100.4631,10115.876,82.291,95.4943,10115.876,80.0548,91.9961,10115.876,75.3814,87.4976
10665.3428,80.4463,98.1109,10387.4609,79.7615,91.9551,10387.4609,77.79,88.2969,10387.4609,72.9837,84.8661
10949.6318,78.1698,95.4335,10665.3428,77.6071,90.2271,10665.3428,75.5403,87.0704,10665.3428,70.5883,82.4531
11240.4365,75.8791,93.2219,10949.6318,75.3815,87.6241,10949.6318,73.2994,83.5965,10949.6318,68.3693,79.6851
11537.8691,73.6444,90.6847,11240.4365,73.0784,85.5881,11240.4365,71.0499,82.6059,11240.4365,66.1963,77.611
11842.042,71.3929,88.4508,11537.8691,70.845,83.0715,11537.8691,69.2341,79.093,11537.8691,64.0984,74.8667
