Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
-,-,-,-,-,-,-,-,-,-,-,-
0,490,490,0,546,546,0,630,630,0,700,700
0,1407.3925,1456.3999,0,1325.1506,1353.7727,0,1256.5072,1221.6893,0,1216.9053,1251.4436
200,1407.7196,1456.0645,200,1325.8197,1357.1085,200,1255.9547,1221.9041,200,1216.7817,1251.4139
400,1407.6476,1456.153,400,1325.2139,1354.085,400,1257.1263,1222.459,400,1216.6189,1251.0575
600,1407.3231,1457.4879,600,1324.3945,1352.8744,600,1250.2908,1222.7228,600,1216.1935,1250.3235
800,1406.439,1455.7327,800,1323.0774,1359.4622,800,1252.7599,1223.8837,800,1215.3408,1249.0137
800.0002,1406.5618,1456.1737,800.0002,1324.2599,1355.1302,800.0002,1253.3943,1224.3455,800.0002,1215.2739,1248.8485
800.0005,1406.3057,1454.4698,800.0005,1323.9607,1357.0454,800.0005,1251.3005,1224.089,800.0005,1215.2413,1248.8601
800.0013,1406.6172,1458.369,800.0013,1324.3745,1359.4622,800.0013,1253.3837,1223.9264,800.0013,1215.2422,1248.8555
800.0025,1407.1685,1455.624,800.0025,1324.0516,1359.4622,800.0025,1251.567,1224.444,800.0025,1215.2325,1248.777
800.0045,1406.9009,1460.0586,800.0045,1324.5286,1354.2211,800.0045,1249.6151,1223.7615,800.0045,1215.2019,1248.7356
800.0074,1407.2322,1457.9843,800.0074,1324.9043,1355.5925,800.0074,1255.8774,1224.7159,800.0074,1215.1498,1248.6809
800.0117,1406.7794,1457.38,800.0117,1324.9717,1359.4622,800.0117,1259.1621,1224.296,800.0117,1215.087,1248.5182
800.0179,1407.8112,1457.1083,800.0179,1324.3982,1359.4622,800.0179,1253.3958,1223.7574,800.0179,1215.0244,1248.5779
800.0264,1406.8997,1460.4332,800.0264,1324.9244,1359.4622,800.0264,1253.4172,1225.0145,800.0264,1215.0339,1248.4657
800.0377,1407.5347,1463.106,800.0377,1324.8041,1356.22,800.0377,1248.9463,1223.5959,800.0377,1214.9979,1248.4325
800.0527,1406.809,1460.6625,800.0527,1324.3351,1359.4622,800.0527,1255.4115,1224.3752,800.0527,1214.9498,1248.4152
800.0721,1407.3541,1470.4727,800.0721,1325.1106,1359.4622,800.0721,1257.1276,1223.9589,800.0721,1214.8958,1248.3058
800.0969,1407.8206,1462.4697,800.0969,1325.2811,1355.9407,800.0969,1255.9091,1223.9094,800.0969,1214.796,1248.3134
800.128,1407.4458,1470.4727,800.128,1325.4702,1359.4622,800.128,1255.4041,1224.3805,800.128,1214.9099,1248.275
800.1666,1407.5656,1470.4727,800.1666,1325.3427,1353.3417,800.1666,1249.1445,1224.1599,800.1666,1214.8081,1248.2598
800.214,1407.9907,1470.4727,800.214,1324.6965,1359.4622,800.214,1253.3947,1224.463,800.214,1214.8054,1248.2074
800.2716,1407.8474,1470.4727,800.2716,1324.9879,1359.4622,800.2716,1253.0811,1223.4982,800.2716,1214.7871,1248.1344
800.3411,1407.4911,1470.4727,800.3411,1324.7262,1359.4622,800.3411,1252.4208,1224.7235,800.3411,1214.7289,1248.2484
800.424,1407.927,1470.4727,800.424,1325.0613,1359.4622,800.424,1251.8519,1224.2762,800.424,1214.7019,1248.3329
800.5223,1408.2806,1470.4727,800.5223,1325.4238,1359.4622,800.5223,1252.1261,1223.8812,800.5223,1214.6057,1248.2491
800.638,1407.7067,1470.4727,800.638,1325.3196,1359.4622,800.638,1252.1323,1222.9037,800.638,1214.5608,1248.1301
800.7734,1408.2051,1470.4727,800.7734,1325.3301,1359.4622,800.7734,1250.0403,1223.8801,800.7734,1214.5349,1248.075
800.9308,1408.0234,1470.4727,800.9308,1325.4631,1359.4622,800.9308,1257.1428,1223.9926,800.9308,1214.5441,1248.0292
801.113,1408.4471,1470.4727,801.113,1325.7893,1359.4622,801.113,1256.5035,1223.6056,801.113,1214.4808,1248.0321
801.3225,1408.9496,1470.4727,801.3225,1325.038,1359.4622,801.3225,1251.035,1223.6715,801.3225,1214.4292,1247.9723
801.5625,1408.8378,1470.4727,801.5625,1325.1252,1359.4622,801.5625,1252.1232,1223.6451,801.5625,1214.4005,1247.8788
801.8361,1408.7572,1470.4727,801.8361,1325.3527,1359.4622,801.8361,1251.0132,1224.3326,801.8361,1214.3207,1247.9026
802.1468,1408.895,1470.4727,802.1468,1324.9144,1359.4622,802.1468,1252.1201,1224.3717,802.1468,1214.3186,1247.837
802.4982,1409.3871,1470.4727,802.4982,1325.7205,1359.4622,802.4982,1248.1071,1224.542,802.4982,1214.2089,1247.7856
802.8941,1408.9697,1470.4727,802.8941,1325.7389,1359.4622,802.8941,1253.3838,1224.0293,802.8941,1214.2277,1247.7506
