Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
-,-,-,-,-,-,-,-,-,-,-,-
0,490,490,0,546,546,0,630,630,0,700,700
0,1412.2732,1511.6138,0,1337.5851,1429.7931,0,1260.5405,1350.1656,0,1229.7556,1307.5739
200,1414.0953,1511.7561,200,1338.2764,1430.02,200,1260.5405,1349.8197,200,1229.535,1307.4941
400,1411.38,1511.1335,400,1335.8567,1429.3119,400,1260.5405,1349.3555,400,1228.9895,1307.2269
600,1410.543,1510.4404,600,1332.3311,1427.8243,600,1260.5405,1348.0244,600,1227.9661,1305.9264
800,1406.7227,1510.0195,800,1330.2595,1424.6185,800,1260.5405,1347.2727,800,1225.9425,1304.1837
800.0002,1405.7467,1509.6675,800.0002,1330.5551,1424.3215,800.0002,1260.5405,1347.2964,800.0002,1225.989,1304.1377
800.0005,1406.8661,1510.0281,800.0005,1329.3143,1424.6656,800.0005,1260.5405,1347.0942,800.0005,1225.9552,1304.077
800.0013,1405.9709,1509.6549,800.0013,1330.6084,1424.5195,800.0013,1260.5405,1347.2345,800.0013,1225.9268,1304.0913
800.0025,1406.2251,1510.0615,800.0025,1330.3541,1424.9269,800.0025,1260.5405,1347.1652,800.0025,1225.887,1304.0587
800.0045,1407.2196,1509.7102,800.0045,1330.6238,1424.5874,800.0045,1260.5405,1347.0273,800.0045,1225.7908,1304.0219
800.0074,1407.3668,1510.3984,800.0074,1329.6857,1424.8937,800.0074,1260.5405,1347.1345,800.0074,1225.7437,1304.0394
800.0117,1406.5663,1510.239,800.0117,1330.4032,1424.8901,800.0117,1259.0269,1347.2284,800.0117,1225.6984,1304.0013
800.0179,1407.2843,1509.97,800.0179,1329.9948,1424.813,800.0179,1260.5405,1347.1357,800.0179,1225.6676,1303.9545
800.0264,1407.4613,1509.928,800.0264,1329.7218,1425.426,800.0264,1260.5405,1347.167,800.0264,1225.5759,1303.9594
800.0377,1407.3196,1510.7008,800.0377,1329.9708,1425.1846,800.0377,1260.5405,1347.1982,800.0377,1225.604,1303.8362
800.0527,1406.511,1510.6649,800.0527,1330.2631,1425.0195,800.0527,1260.5405,1347.1415,800.0527,1225.5784,1303.9269
800.0721,1407.3651,1510.6895,800.0721,1329.9799,1424.9031,800.0721,1260.5405,1347.1235,800.0721,1225.5319,1303.7922
800.0969,1406.8641,1510.8621,800.0969,1330.4828,1424.8673,800.0969,1260.5405,1347.1993,800.0969,1225.4293,1303.7964
800.128,1407.8826,1510.6494,800.128,1329.7778,1424.89,800.128,1253.8553,1347.1586,800.128,1225.3347,1303.7462
800.1666,1407.6704,1511.1967,800.1666,1331.0385,1425.3558,800.1666,1260.5405,1347.0653,800.1666,1225.379,1303.7169
800.214,1407.3615,1510.7856,800.214,1330.1337,1424.7697,800.214,1260.5405,1347.2656,800.214,1225.3107,1303.7366
800.2716,1408.0406,1511.1079,800.2716,1329.9459,1425.5295,800.2716,1260.5405,1347.1438,800.2716,1225.2867,1303.6842
800.3411,1408.0632,1511.4891,800.3411,1330.6874,1424.9829,800.3411,1258.9948,1347.0819,800.3411,1225.1583,1303.6055
800.424,1407.8231,1511.478,800.424,1330.2532,1425.3477,800.424,1260.5405,1347.3605,800.424,1225.2166,1303.6526
800.5223,1407.8223,1511.459,800.5223,1330.9237,1425.317,800.5223,1260.5405,1347.2183,800.5223,1225.1556,1303.5967
800.638,1408.1002,1511.3539,800.638,1330.0233,1425.4529,800.638,1260.5405,1347.2913,800.638,1225.1157,1303.5293
800.7734,1407.8495,1511.3625,800.7734,1330.5992,1425.5045,800.7734,1260.5405,1347.2787,800.7734,1225.0146,1303.5316
800.9308,1408.0427,1511.8647,800.9308,1330.8672,1425.6528,800.9308,1256.624,1347.1465,800.9308,1224.9751,1303.5565
801.113,1408.0789,1511.739,801.113,1330.9312,1425.8354,801.113,1260.5405,1347.3082,801.113,1224.9386,1303.4946
801.3225,1408.1252,1512.0701,801.3225,1331.1149,1425.6548,801.3225,1260.5405,1347.2281,801.3225,1224.8616,1303.5366
801.5625,1408.5896,1511.9609,801.5625,1330.7485,1425.6945,801.5625,1260.5405,1347.3405,801.5625,1224.8314,1303.4429
801.8361,1408.2483,1511.8132,801.8361,1330.3158,1425.4882,801.8361,1260.5405,1347.2189,801.8361,1224.8435,1303.4427
802.1468,1407.8986,1511.7728,802.1468,1330.1111,1425.7643,802.1468,1260.5405,1346.9985,802.1468,1224.7749,1303.5114
802.4982,1408.7646,1511.8583,802.4982,1330.9839,1425.405,802.4982,1260.5405,1347.3032,802.4982,1224.7217,1303.3345
802.8941,1406.9752,1511.9598,802.8941,1330.2455,1425.4983,802.8941,1260.5405,1347.2051,802.8941,1224.6685,1303.3417
