Voltage(mv),490-A,490-B,Voltage(mv),544-A,544-B,Voltage(mv),633-A,633-B
856.4996,1425.6812,1421.2592,856.4996,1361.8676,1327.1523,856.4996,1281.816,1258.3275
861.1669,1425.4694,1421.1515,861.1669,1361.8676,1326.8701,861.1669,1281.7428,1257.3596
866.1377,1425.6206,1420.7657,866.1377,1361.8676,1327.3203,866.1377,1281.3604,1256.3519
871.4266,1425.7004,1420.7799,871.4266,1361.8676,1325.8752,871.4266,1280.8894,1257.5862
877.0485,1425.6501,1420.6046,877.0485,1361.8676,1326.0706,877.0485,1280.8602,1255.3204
883.0189,1425.3208,1420.0587,883.0189,1361.8676,1325.3052,883.0189,1281.1122,1257.5801
889.3539,1425.3335,1419.7526,889.3539,1361.8676,1325.6425,889.3539,1281.5718,1256.5209
896.0698,1425.4158,1419.7587,896.0698,1361.8676,1325.5236,896.0698,1280.4553,1257.1387
903.1836,1425.3137,1419.5796,903.1836,1361.8676,1325.3552,903.1836,1281.3514,1255.1412
910.7126,1425.2448,1419.0203,910.7126,1361.8676,1325.3868,910.7126,1280.3555,1255.441
918.675,1425.4114,1418.6594,918.675,1361.8676,1324.7269,918.675,1280.3306,1256.5397
927.0889,1425.3389,1418.3849,927.0889,1361.8676,1324.7612,927.0889,1279.743,1253.6549
935.9734,1424.932,1418.0626,935.9734,1361.8676,1323.6808,935.9734,1279.3483,1255.9408
945.3481,1424.8533,1417.7931,945.3481,1361.8676,1323.4167,945.3481,1279.5298,1253.2571
955.2328,1424.5743,1417.4015,955.2328,1361.8676,1323.1285,955.2328,1279.553,1255.1017
965.6481,1424.4924,1416.7946,965.6481,1361.8676,1323.0305,965.6481,1278.874,1254.6646
976.6151,1424.4303,1416.7531,976.6151,1361.8676,1322.5372,976.6151,1278.4049,1252.7399
988.1553,1424.141,1415.7655,988.1553,1361.8676,1322.2056,988.1553,1277.8304,1251.1669
1000.2911,1423.9078,1415.2146,1000.2911,1361.8676,1322.2098,1000.2911,1278.3293,1251.5657
1013.0452,1423.3241,1414.5671,1013.0452,1361.8676,1321.533,1013.0452,1277.2266,1251.7755
1026.4408,1423.0254,1414.1012,1026.4408,1361.8676,1321.3809,1026.4408,1276.5446,1252.0074
1040.502,1422.8148,1413.5358,1040.502,1361.8676,1321.2191,1040.502,1276.3409,1248.439
1055.2531,1422.2993,1413.166,1055.2531,1361.8676,1321.1383,1055.2531,1275.2217,1249.4032
1070.7194,1422.0134,1412.6797,1070.7194,1361.8676,1320.7534,1070.7194,1275.951,1246.9875
1086.9263,1421.3042,1411.1565,1086.9263,1361.8676,1320.5068,1086.9263,1275.1018,1237.3922
1103.9004,1420.6854,1409.6595,1103.9004,1361.8676,1319.3809,1103.9004,1273.9021,1243.8535
1121.6683,1419.7554,1408.8165,1121.6683,1361.8676,1318.2911,1121.6683,1272.674,1243.5355
1140.2579,1419.5034,1407.855,1140.2579,1361.8676,1316.9513,1140.2579,1271.8356,1242.3779
1159.6971,1418.1277,1406.0391,1159.6971,1361.8676,1315.3788,1159.6971,1271.4158,1241.0397
1180.0148,1416.5138,1404.2996,1180.0148,1361.8676,1314.5536,1180.0148,1268.7407,1240.2107
1201.2404,1414.8684,1402.2185,1201.2404,1361.8676,1313.8566,1201.2404,1264.3763,1238.9321
1223.4039,1413.015,1399.9305,1223.4039,1361.8676,1310.9752,1223.4039,1264.3763,1237.3945
1246.5363,1411.6768,1396.3739,1246.5363,1361.8676,1308.663,1246.5363,1264.3763,1232.6858
1270.6688,1409.1588,1392.4751,1270.6688,1350.7006,1305.6116,1270.6688,1264.3763,1230.3308
1295.8336,1406.955,1388.6478,1295.8336,1347.0106,1302.094,1295.8336,1264.3763,1225.5306
1322.0635,1403.8718,1383.595,1322.0635,1343.4441,1296.3163,1322.0635,1264.3763,1223.0493
1349.3917,1399.741,1377.6996,1349.3917,1334.6818,1291.2502,1349.3917,1258.6396,1217.5991
1377.8527,1394.8868,1369.5275,1377.8527,1327.4473,1285.2656,1377.8527,1247.2432,1211.417
1407.4811,1387.9663,1360.1661,1407.4811,1320.1206,1277.1906,1407.4811,1244.0692,1202.1053
1438.3125,1378.7084,1348.3097,1438.3125,1311.1017,1266.5215,1438.3125,1234.0714,1191.6539
1470.3833,1368.8949,1335.8344,1470.3833,1298.2821,1255.6031,1470.3833,1223.5964,1181.585
1503.7303,1356.1104,1320.483,1503.7303,1285.5959,1241.8724,1503.7303,1212.5402,1168.4325
1538.3914,1340.5562,1303.1272,1538.3914,1270.6337,1225.5808,1538.3914,1196.7352,1152.7885
1574.4049,1321.4319,1280.8962,1574.4049,1252.3824,1206.2113,1574.4049,1179.506,1134.525
1611.8101,1300.0887,1256.39,1611.8101,1232.0928,1185.2842,1611.8101,1160.8881,1114.8232
1650.6469,1275.1113,1225.3939,1650.6469,1210.3453,1163.1686,1650.6469,1140.8232,1093.7244
1690.9559,1225.3939,1201.49551,1690.9559,1186.3717,1136.7928,1690.9559,1118.5654,1070.637
1732.7789,1189.5382,1176.6995,1732.7789,1159.8417,1089.494,1732.7789,1093.9421,1045.9576
1776.1578,1157.5756,1145.9662,1776.1578,1129.1986,1050.2848,1776.1578,1068.2728,1019.4321
1821.1359,1125.478,1115.4469,1821.1359,1089.494,1017.3861,1821.1359,1041.2518,989.8421
1867.7567,1091.8114,1083.5092,1867.7567,1039.3661,987.0386,1867.7567,1012.5338,947.4709
1966.1063,1057.9706,1050.5725,1966.1063,1004.8465,955.7068,1966.1063,948.2823,903.2255
2017.9265,1019.7839,980.3151,2017.9265,971.9441,923.4412,2017.9265,919.9324,869.0924
2071.573,980.3151,948.6307,2071.573,937.8029,890.3544,2071.573,882.4745,838.1248
2127.0933,947.7239101,911.1956,2127.0933,904.0364,853.3893,2127.0933,851.6742,807.1503
2184.5361,913.9086,875.2576,2184.5361,867.1769,817.1205,2184.5361,819.252,775.3564
2243.9512,878.0555,840.2601,2243.9512,817.1205,786.8132512,2243.9512,787.3488,743.9628
2305.3887,842.8182,805.8315,2305.3887,767.9526,755.3887,2305.3887,756.0395,713.5436
2368.8997,807.2603,766.5648,2368.8997,731.1696,721.2623,2368.8997,724.5735,680.6226
2434.5366,767.3631,735.2363,2434.5366,699.9679,689.7109,2434.5366,692.5476,631.6473
2572.3999,717.3631,668.7126,2572.3999,668.3918,659.6718,2572.3999,660.5154,592.4767
2644.7349,668.2486,637.7747,2644.7349,637.7561,629.5432,2644.7349,632.1882,562.5997
2719.4126,637.5009,608.5071,2719.4126,608.889,599.1074,2719.4126,572.7302,537.1086
2796.4893,607.3651,580.4453,2796.4893,579.0516,570.076,2796.4893,546.3922,511.4066
2876.0225,578.8989,552.6337,2876.0225,544.747,544.747,2876.0225,520.8214,487.539
2958.0703,552.0687,524.6503,2958.0703,521.7692467,490.2874,2958.0703,496.8458,464.4865
3042.6919,522.303,490.1576,3042.6919,498.016,465.08,3042.6919,473.2043,442.1053
3129.9478,490.1576,453.9616,3129.9478,473.8637,443.9636,3129.9478,451.6087,421.7222
3219.8982,454.8676,431.278,3219.8982,452.2364,423.4196,3219.8982,430.4922,402.594
3312.6057,431.7287,411.9322,3312.6057,431.371,404.1744,3312.6057,410.805,384.1888
3408.1331,412.3564,393.1894,3408.1331,411.9825,385.9059,3408.1331,392.4695,365.378
3506.5439,394.5513,376.2783,3506.5439,393.5161,369.0112,3506.5439,372.2613,346.5665
3607.9033,377.4089,360.1708,3607.9033,376.8225,353.103,3607.9033,355.5748,332.121
3712.2771,361.6665,344.9784,3712.2771,360.4948,337.1177,3712.2771,338.5431,315.8236
3930.3347,346.6728,331.2933,3930.3347,345.4796,322.061,3930.3347,316.0941,288.3891
4044.1553,332.8383,317.8851,4044.1553,328.4608,307.0441,4044.1553,295.4356,276.8367
4161.2627,319.3879,304.3281,4161.2627,316.3664,293.3203,4161.2627,283.7118,265.2432
4281.728,306.3976,291.8235,4281.728,302.2443,282.9236,4281.728,270.5145,253.9218
4405.6226,293.3293,280.4324,4405.6226,289.0183,272.3735,4405.6226,259.7531,242.6901
4533.0195,281.5417,267.4439,4533.0195,272.3735,250.2776,4533.0195,247.2209,233.2903
4663.9917,269.8,258.6642,4663.9917,253.2944,240.2888,4663.9917,238.4554,225.0444
4798.6152,260.9464,245.0788,4798.6152,245.9614,230.5325,4798.6152,228.8285,216.3768
4936.9644,245.0788,234.5531995,4936.9644,235.0109,221.3315,4936.9644,220.6949,208.9921
5079.1172,238.1305721,229.0591,5079.1172,226.5425,214.454,5079.1172,212.556,201.1677
5225.1514,230.9817,223.5306,5225.1514,217.9693,204.8454,5225.1514,204.6468,194.5821
5375.145,223.2446,214.6673,5375.145,210.1445,197.4693,5375.145,197.815,187.4219
5529.1787,214.3201,206.7059,5529.1787,201.4578,190.4932,5529.1787,190.6199,181.4466
5687.3335,206.4293,198.6019,5687.3335,194.1385,184.8658,5687.3335,184.2173,175.2632
5849.6919,198.961,191.6827,5849.6919,187.2565,178.6039,5849.6919,177.6958,169.1564
6016.3364,191.9737,185.1297,6016.3364,181.07,172.6533,6016.3364,171.6736,163.7425
6187.3521,185.3412,178.0191,6187.3521,175.4975,167.2545,6187.3521,166.0138,158.4568
6362.8232,177.3145,171.8927,6362.8232,169.4438,161.657,6362.8232,160.3963,153.2293
6542.8379,171.8235,166.9693,6542.8379,163.5358,156.6792,6542.8379,155.0588,148.2697
6727.4824,165.9476,161.2655,6727.4824,158.246,151.7025,6727.4824,149.9483,143.3599
6916.8462,160.8448,156.5801,6916.8462,153.3342,147.0723,6916.8462,144.9662,139.0865
7111.019,155.4298,151.3456,7111.019,148.1902,142.5228,7111.019,140.2702,134.872
7310.0918,150.6379,147.1942,7310.0918,143.5064,138.2466,7310.0918,135.5287,130.3068
7514.1567,145.6936,142.1127,7514.1567,138.8592,133.901,7514.1567,131.1666,126.6087
7723.3071,141.4776,138.1409,7723.3071,134.7405,129.9006,7723.3071,127.198,122.6534
7937.6372,136.5421,133.8754,7937.6372,130.4081,125.9283,7937.6372,122.8472,118.9403
8157.2432,132.6325,129.6928,8157.2432,126.4035,122.3008,8157.2432,119.2542,115.4498
8382.2217,128.3141,126.1284,8382.2217,122.3474,118.4983,8382.2217,115.3362,111.9347
8612.6699,124.2568,122.2269,8612.6699,118.7037,114.973,8612.6699,111.5846,108.5725
8848.6885,120.5904,118.4447,8848.6885,114.9769,111.5623,8848.6885,108.3483,105.3832
