Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
812.8775,1470.4727,1442.682,812.8775,1359.4622,1359.4622,812.8775,1229.8766,1239.707,812.8775,1246.1909,1249.5846
814.3233,1470.4727,1443.1686,814.3233,1359.4622,1359.4622,814.3233,1231.0404,1240.0348,814.3233,1246.1349,1249.5393
815.8961,1470.4727,1442.3694,815.8961,1359.4622,1359.4622,815.8961,1231.5157,1240.2474,815.8961,1246.0974,1249.4512
817.6041,1470.4727,1442.6259,817.6041,1359.4622,1359.4622,817.6041,1231.3066,1239.7219,817.6041,1246.099,1249.4039
819.4559,1470.4727,1441.8167,819.4559,1359.4622,1359.4622,819.4559,1230.2034,1239.3167,819.4559,1246.0527,1249.4047
821.4603,1467.1113,1442.3762,821.4603,1359.4622,1359.4622,821.4603,1230.5298,1239.5221,821.4603,1245.9922,1249.3636
823.6266,1470.4727,1442.4862,823.6266,1359.4622,1359.4622,823.6266,1231.7721,1239.1953,823.6266,1245.9556,1249.3485
825.9644,1470.4727,1442.6091,825.9644,1359.4622,1359.4622,825.9644,1230.6929,1239.704,825.9644,1245.9866,1249.2816
828.4838,1470.4727,1442.103,828.4838,1359.4622,1359.4622,828.4838,1230.2767,1240.2332,828.4838,1245.9509,1249.2258
831.1949,1470.4727,1441.8497,831.1949,1359.4622,1359.4622,831.1949,1231.1719,1239.8253,831.1949,1245.9573,1249.2152
834.1088,1470.4727,1442.8391,834.1088,1359.4622,1359.4622,834.1088,1230.6163,1240.3397,834.1088,1245.8667,1249.1384
837.2363,1470.4727,1443.2548,837.2363,1359.4622,1359.4622,837.2363,1231.0072,1241.2113,837.2363,1245.9247,1249.1145
840.5892,1470.4727,1442.7584,840.5892,1359.4622,1359.4622,840.5892,1230.3385,1240.442,840.5892,1245.9036,1249.0105
844.1794,1470.4727,1442.9272,844.1794,1359.4622,1359.4622,844.1794,1232.7228,1242.5779,844.1794,1245.8546,1248.9474
848.0192,1470.4727,1441.7095,848.0192,1359.4622,1359.4622,848.0192,1231.1578,1241.9803,848.0192,1245.8763,1248.9277
852.1216,1470.4727,1442.4463,852.1216,1359.4622,1359.4622,852.1216,1230.922,1241.9827,852.1216,1245.7981,1248.8374
856.4996,1470.4727,1441.6711,856.4996,1359.4622,1359.4622,856.4996,1231.0115,1242.9399,856.4996,1245.8514,1248.8396
861.1669,1470.4727,1442.3398,861.1669,1359.4622,1359.4622,861.1669,1232.2999,1242.6885,861.1669,1245.7794,1248.806
866.1377,1470.4727,1441.5188,866.1377,1359.4622,1359.4622,866.1377,1231.3324,1242.0027,866.1377,1245.7485,1248.7131
871.4266,1470.4727,1442.0808,871.4266,1359.4622,1359.4622,871.4266,1231.2511,1242.4945,871.4266,1245.7217,1248.6802
877.0485,1470.4727,1441.2496,877.0485,1359.4622,1359.4622,877.0485,1231.527,1242.1129,877.0485,1245.6737,1248.5297
883.0189,1470.4727,1440.583,883.0189,1359.4622,1359.4622,883.0189,1230.955,1243.192,883.0189,1245.6927,1248.517
889.3539,1470.4727,1441.8225,889.3539,1359.4622,1359.4622,889.3539,1230.4321,1243.9288,889.3539,1245.6138,1248.4252
896.0698,1470.4727,1440.2526,896.0698,1359.4622,1359.4622,896.0698,1231.288,1244.8727,896.0698,1245.5862,1248.3057
903.1836,1470.4727,1441.1562,903.1836,1359.4622,1359.4622,903.1836,1231.3257,1243.075,903.1836,1245.5719,1248.2002
910.7126,1470.4727,1440.3232,910.7126,1359.4622,1359.4622,910.7126,1230.7239,1243.5659,910.7126,1245.5275,1248.0131
918.675,1470.4727,1438.7218,918.675,1359.4622,1359.4622,918.675,1231.9619,1245.5801,918.675,1245.4934,1247.8452
927.0889,1470.4727,1439.5673,927.0889,1359.4622,1359.4622,927.0889,1231.6128,1245.4408,927.0889,1245.4823,1247.6857
935.9734,1470.4727,1438.7952,935.9734,1359.4622,1359.4622,935.9734,1231.1017,1245.8669,935.9734,1245.4139,1247.5386
945.3481,1470.4727,1440.051,945.3481,1359.4622,1359.4622,945.3481,1232.2195,1246.2948,945.3481,1245.4152,1247.417
955.2328,1470.4727,1438.4119,955.2328,1359.4622,1359.4622,955.2328,1231.017,1247.7509,955.2328,1245.2275,1247.2292
965.6481,1470.4727,1437.889,965.6481,1359.4622,1359.4622,965.6481,1231.2584,1247.7393,965.6481,1245.1682,1247.0142
976.6151,1470.4727,1437.9165,976.6151,1359.4622,1359.4622,976.6151,1231.0127,1248.2556,976.6151,1245.1655,1246.7543
988.1553,1470.4727,1436.663,988.1553,1359.4622,1359.4622,988.1553,1233.1508,1248.438,988.1553,1245.1007,1246.4829
1000.2911,1470.4727,1434.9297,1000.2911,1359.4622,1359.4622,1000.2911,1232.9144,1249.9509,1000.2911,1245.0676,1246.2955
1013.0452,1470.4727,1435.3113,1013.0452,1359.4622,1359.4622,1013.0452,1231.7747,1252.4695,1013.0452,1245.1035,1246.0044
1026.4408,1470.4727,1434.4413,1026.4408,1359.4622,1359.4622,1026.4408,1231.7383,1253.3759,1026.4408,1245.0892,1245.5555
1040.502,1470.4727,1432.7976,1040.502,1359.4622,1359.4622,1040.502,1232.7251,1256.3727,1040.502,1244.9581,1245.1091
1055.2531,1470.4727,1433.1426,1055.2531,1359.4622,1359.4622,1055.2531,1232.9194,1260.5405,1055.2531,1245.0824,1244.7078
1070.7194,1470.4727,1432.0074,1070.7194,1359.4622,1359.4622,1070.7194,1232.0406,1260.5405,1070.7194,1244.9863,1244.0587
1086.9263,1468.0178,1431.5594,1086.9263,1359.4622,1359.4622,1086.9263,1233.1952,1260.5405,1086.9263,1244.8977,1243.4275
1103.9004,1465.3284,1431.0829,1103.9004,1359.4622,1359.4622,1103.9004,1233.5582,1260.5405,1103.9004,1244.7198,1242.6095
1121.6683,1470.4727,1430.9541,1121.6683,1359.4622,1359.4622,1121.6683,1233.677,1260.5405,1121.6683,1244.554,1241.8081
1140.2579,1466.184,1429.8585,1140.2579,1359.4622,1359.4622,1140.2579,1232.8707,1260.5405,1140.2579,1244.4598,1241.0117
1159.6971,1466.3793,1428.342,1159.6971,1359.4622,1359.4622,1159.6971,1236.1217,1260.5405,1159.6971,1244.3717,1239.8829
1180.0148,1462.8975,1426.9352,1180.0148,1359.4622,1359.4622,1180.0148,1234.3932,1260.5405,1180.0148,1244.2299,1238.6289
1201.2404,1460.6471,1422.684,1201.2404,1359.4622,1359.4622,1201.2404,1235.3671,1260.5405,1201.2404,1244.0409,1236.9803
1223.4039,1461.2683,1420.1809,1223.4039,1359.4622,1359.4622,1223.4039,1235.1771,1260.5405,1223.4039,1243.6592,1235.0255
1246.5363,1461.0192,1419.1638,1246.5363,1359.4622,1359.4622,1246.5363,1238.0767,1260.5405,1246.5363,1243.4611,1232.4497
1270.6688,1459.3751,1414.8726,1270.6688,1359.4622,1344.6793,1270.6688,1236.6976,1260.5405,1270.6688,1243.1112,1229.3434
1295.8336,1457.9938,1410.8226,1295.8336,1359.4622,1335.1868,1295.8336,1237.7235,1260.5405,1295.8336,1242.9255,1226.0834
1322.0635,1457.7932,1405.6809,1322.0635,1359.4622,1331.4844,1322.0635,1237.6006,1260.5405,1322.0635,1242.3313,1222.0228
1349.3917,1454.8948,1401.6761,1349.3917,1359.4622,1326.4554,1349.3917,1239.8511,1260.5405,1349.3917,1242.0038,1217.0847
1377.8527,1454.4493,1393.0696,1377.8527,1359.4622,1317.0676,1377.8527,1241.1876,1260.5405,1377.8527,1241.394,1210.47
1407.4811,1453.5358,1381.663,1407.4811,1359.4622,1306.4906,1407.4811,1241.3812,1238.177,1407.4811,1240.7521,1202.2799
1438.3125,1451.9326,1369.7698,1438.3125,1359.4622,1292.9784,1438.3125,1243.5529,1229.2655,1438.3125,1239.9165,1191.8601
1470.3833,1450.0524,1357.6017,1470.3833,1359.4622,1282.3068,1470.3833,1243.2633,1213.6116,1470.3833,1239.1534,1181.1466
1503.7303,1445.494,1342.7429,1503.7303,1359.4622,1265.0337,1503.7303,1243.4841,1201.3859,1503.7303,1237.9419,1167.9445
1538.3914,1441.1134,1325.2389,1538.3914,1359.4622,1248.1218,1538.3914,1246.5188,1183.6793,1538.3914,1236.5121,1152.448
1574.4049,1437.635,1301.881,1574.4049,1359.4622,1229.0497,1574.4049,1246.7512,1164.1659,1574.4049,1234.6531,1134.161
1611.8101,1435.1692,1278.5146,1611.8101,1355.1465,1207.2275,1611.8101,1248.4603,1143.1575,1611.8101,1232.2935,1113.9988
1650.6469,1431.6387,1225.3939,1650.6469,1343.9969,1185.212,1650.6469,1247.5018,1122.1603,1650.6469,1229.5289,1093.4609
1690.9559,1425.4657,1198.5621,1690.9559,1334.6526,1157.751,1690.9559,1252.6642,1098.9238,1690.9559,1225.8651,1046.9315
1732.7789,1421.1908,1166.1442,1732.7789,1329.8932,1130.2665,1732.7789,1260.5405,1073.1332,1732.7789,1220.8004,1017.5948
1776.1578,1413.4501,1133.8931,1776.1578,1318.2341,1087.5697,1776.1578,1260.5405,1047.4869,1776.1578,1214.4614,988.3325
1821.1359,1404.6932,1100.7838,1821.1359,1307.3003,1042.879,1821.1359,1249.7689,1017.3018,1821.1359,1206.5997,959.8554
1867.7567,1393.7175,1068.6523,1867.7567,1294.4747,1011.6354,1867.7567,1244.7036,987.8064,1867.7567,1196.2391,930.3032
1916.0651,1376.874,1031.5107,1916.0651,1277.8979,977.0204,1916.0651,1227.6006,945.4054,1916.0651,1182.9713,900.6149
1966.1063,1360.6901,980.3151,1966.1063,1258.559,944.7198,1966.1063,1213.3829,893.5477,1966.1063,1167.9852,870.0654
2017.9265,1341.1293,928.6172,2017.9265,1238.3656,911.1772,2017.9265,1195.0851,859.4548,2017.9265,1149.7915,838.5969
2071.573,1316.4226,889.8157,2071.573,1214.1144,875.8902,2071.573,1171.9786,828.3649,2071.573,1128.1281,807.7629
2127.0933,1288.426,855.0716,2127.0933,1189.3011,815.6773,2127.0933,1149.3398,796.7925,2127.0933,1105.3918,776.0435
2184.5361,1225.3939,819.2611,2184.5361,1159.0623,774.874,2184.5361,1124.6759,765.1933,2184.5361,1079.9514,744.5906
2305.3887,1195.2916,781.6324,2243.9512,1124.8103,739.9108,2243.9512,1097.7478,735.1636,2243.9512,1046.9315,697.9543
2368.8997,1158.4739,735.2363,2305.3887,1087.5697,705.8434,2305.3887,1070.1367,702.0751,2368.8997,994.1799,654.6046
2434.5366,1121.7444,681.2484,2434.5366,1028.5011,675.642,2368.8997,1041.0878,670.77,2434.5366,962.0765,625.7984
2502.3521,1087.351,646.7997,2502.3521,993.024,644.5918,2434.5366,1007.2661,630.2703,2502.3521,930.4638,597.3238
2572.3999,1048.188,617.343,2572.3999,958.4481,612.8096,2502.3521,945.4054,580.9556,2572.3999,897.6146,569.592
2644.7349,980.3151,589.6082,2644.7349,923.1965,584.6681,2644.7349,907.1001,556.8262,2644.7349,864.2266,543.2845
2796.4893,938.1564,559.5405,2719.4126,886.153,543.7849,2719.4126,870.8547,528.6695,2719.4126,831.2007,517.9024
2876.0225,896.8508,532.7455,2796.4893,815.6773,505.2404,2796.4893,834.5576,503.7303,2796.4893,797.8539,493.383
2958.0703,859.2828,490.1576,2958.0703,780.8043,483.4273,2876.0225,800.652,480.6408,2876.0225,764.4204,469.7885
3042.6919,821.8795,461.957,3042.6919,742.6886,457.687,2958.0703,767.8266,458.4182,2958.0703,729.9745,447.3111
3129.9478,781.1475,439.2323,3129.9478,707.2427,437.4866,3042.6919,734.4579,437.6307,3042.6919,697.9543,426.2914
3219.8982,735.2363,420.553,3219.8982,675.1882,417.584,3129.9478,700.7865,417.7475,3219.8982,636.483,406.5078
3408.1331,678.2692,400.0376,3312.6057,643.9835,399.4323,3219.8982,666.4688,397.8245,3312.6057,606.8816,386.1718
3506.5439,643.9362,382.6429,3408.1331,612.4611,381.4476,3312.6057,630.2703,377.9161,3408.1331,578.7569,368.8035
3607.9033,613.8455,366.6072,3506.5439,581.401,365.3837,3506.5439,574.9175,360.4398,3506.5439,551.5927,348.9772
3712.2771,585.928,351.503,3607.9033,543.7849,347.4937,3607.9033,549.5137,344.8112,3607.9033,525.8458,317.5791
3819.7314,555.6373,336.7808,3819.7314,502.5662,333.6798,3712.2771,521.4081,329.3791,3712.2771,500.976,302.6115
3930.3347,527.2544,322.0254,3930.3347,479.0729,318.9314,3819.7314,497.1289,315.1351,3819.7314,477.0885,289.7984
4044.1553,490.1576,308.9716,4044.1553,453.9346,306.6936,3930.3347,474.9001,292.0063,3930.3347,454.4744,277.6152
4281.728,458.8864,297.2438,4161.2627,433.7222,290.3918,4044.1553,452.1873,279.5146,4044.1553,432.8092,266.1
4405.6226,436.8298,282.9857,4281.728,413.803,285.174,4161.2627,431.3597,265.0103,4161.2627,412.7286,255.1288
4533.0195,417.8971,272.2148,4405.6226,396.3672,271.8924,4281.728,412.8853,253.8031,4281.728,393.1069,244.6302
4663.9917,397.72,260.7254,4533.0195,378.9936,252.1491,4405.6226,391.4552,244.614,4405.6226,372.7386,235.063
4798.6152,380.5948,254.9964,4663.9917,363.0722,238.3628,4533.0195,374.079,235.1937,4533.0195,348.9772,226.1063
4936.9644,364.7299,245.0788,4798.6152,344.4252,229.9347,4663.9917,356.6726,224.7106,4798.6152,324.6261,217.1577
5079.1172,350.1677,229.5412,4936.9644,330.341,220.199,4798.6152,337.1115,216.2653,4936.9644,310.6357,209.0054
5225.1514,336.1418,221.4063,5079.1172,316.8939,212.4731,4936.9648,315.1351,208.6269,5079.1172,296.2552,201.3686
5375.145,320.8159,210.5974,5225.1514,304.5077,205.9277,5225.1514,299.5544,201.1963,5225.1514,283.8444,193.9761
5529.1787,308.6046,202.6615,5375.145,288.1183,198.0887,5375.145,285.5466,194.2282,5375.145,272.1845,187.1781
5687.3335,296.1,196.7425,5529.1787,271.8924,191.4427,5529.1787,274.4431,187.6486,5529.1787,261.2456,180.336
5849.6919,282.9241,188.5444,5849.6919,257.0688,182.5443,5687.3335,261.3434,181.2179,5687.3335,250.8392,174.0067
6016.3364,272.5744,182.1038,6016.3364,252.3197,176.6825,5849.6919,251.6867,175.0925,5849.6919,241.0881,167.8854
6187.3521,261.7106,176.5486,6187.3521,237.9813,170.8165,6016.3364,241.9748,169.4932,6016.3364,231.9189,162.1248
6362.8232,255.247,171.2092,6362.8232,230.5876,165.1608,6187.3521,234.1205,163.7658,6187.3521,223.1829,156.6037
6542.8379,245.0788,165.4637,6542.8379,221.8296,159.841,6362.8232,222.6605,158.195,6362.8232,215.174,151.2916
6916.8462,229.5736,158.8796,6727.4824,213.9089,155.2725,6542.8379,215.5551,153.5353,6542.8379,207.3745,146.1448
7111.019,223.9815,153.3014,6916.8462,206.5639,149.6653,6727.4824,207.7826,148.6001,6727.4824,200.1223,141.2965
7310.0918,213.1248,148.0397,7111.019,199.1078,145.5983,6916.8462,200.6682,143.5914,6916.8462,193.1605,136.5741
7514.1567,207.7868,143.7513,7310.0918,192.6052,140.6242,7111.019,194.267,139.0583,7111.019,186.5907,131.9293
7723.3071,198.0009,139.7098,7514.1567,185.4334,135.9904,7310.0918,188.3525,134.5552,7310.0918,180.2751,127.7021
7937.6372,190.9375,135.1933,7723.3071,179.1171,131.7341,7514.1567,181.8379,130.8262,7514.1567,174.4013,123.5015
8157.2432,186.9153,130.9692,7937.6372,173.1391,128.3681,7723.3071,175.7177,126.9876,7723.3071,168.5097,119.4638
8382.2217,180.1295,127.4207,8157.2432,167.6031,124.5708,7937.6372,170.2439,123.063,7937.6372,163.0701,115.422
8612.6699,174.0325,123.271,8382.2217,162.0258,120.0339,8157.2432,164.6537,118.9677,8157.2432,157.77,111.6882
8848.6885,169.5354,119.5074,8612.6699,156.7864,116.8939,8382.2217,159.8858,114.7951,8382.2217,152.6272,108.1471
9090.377,164.3128,116.4583,8848.6885,152.543,113.9056,8612.6699,154.8763,111.754,8612.6699,147.7283,104.5325
9337.8359,157.5055,112.6961,9090.377,148.4043,109.4757,8848.6885,150.2829,108.9644,8848.6885,143.2092,101.0804
9591.1699,152.8775,109.6532,9337.8359,143.8488,107.1678,9090.377,145.3844,104.8633,9090.377,138.5855,97.7598
9850.4814,147.888,106.3904,9591.1699,139.3148,103.7474,9337.8359,141.274,102.1286,9337.8359,134.3372,94.6244
10115.876,143.5877,103.1763,9850.4814,135.0582,100.8958,9591.1699,137.2605,99.5748,9591.1699,130.2052,91.5325
10387.4609,140.0616,99.8976,10115.876,131.0568,97.5242,9850.4814,133.6217,95.4866,9850.4814,126.176,88.3555
10665.3428,135.8717,97.0933,10387.4609,127.6592,94.8953,10115.876,129.9007,93.954,10115.876,122.297,85.722
10949.6318,131.6667,94.4911,10665.3428,123.8103,92.2187,10387.4609,125.5693,90.2519,10387.4609,118.6634,83.0152
11240.4365,127.9876,92.0143,10949.6318,120.4471,90.0417,10665.3428,121.8262,88.9445,10665.3428,115.0495,80.2261
11537.8691,124.8814,88.9997,11240.4365,117.2742,86.3899,10949.6318,119.1853,84.6818,10949.6318,111.6891,77.578
11842.042,121.1593,86.9064,11537.8691,113.5662,84.8138,11240.4365,115.0447,83.4215,11240.4365,108.328,75.2826
12153.0684,118.1709,84.2736,11842.042,110.6517,82.1829,11537.8691,112.1116,80.7444,11537.8691,104.9725,72.4984
12471.0654,114.2375,81.1283,12153.0684,107.3859,78.8104,11842.042,109.3174,77.4132,11842.042,101.7819,69.8627
12796.1484,111.6252,77.0796,12471.0654,105.2334,74.5097,12153.0684,105.9178,73.4625,12153.0684,98.6185,67.6937
13128.4346,108.2218,75.5486,12796.1484,101.8461,73.3359,12471.0654,103.4278,72.0103,12471.0654,95.9078,65.4443
13468.0439,105.762,73.8605,13128.4346,99.7809,71.7471,12796.1484,100.537,70.0991,12796.1484,93.069,63.1843
13815.0967,102.4519,70.7207,13468.0439,96.3619,68.4916,13128.4346,98.0498,67.3307,13128.4346,90.1544,61.1491
14169.7139,100.1598,68.742,13815.0967,94.4739,66.7019,13468.0439,95.3496,65.5589,13468.0439,87.7253,58.9779
14532.0195,96.7644,67.7745,14169.7139,91.3473,66.0496,13815.0967,92.4536,64.6006,13815.0967,85.023,56.665
14902.1367,95.4317,65.7275,14532.0195,89.4504,64.4613,14169.7139,90.4614,61.5334,14169.7139,82.8019,54.8353
15280.1924,91.5721,62.5706,14902.1367,86.8148,60.221,14532.0195,87.3945,59.157,14532.0195,80.3341,52.9757
15666.3135,89.9003,60.6713,15280.1924,83.8968,58.8256,14902.1367,84.0196,57.9676,14902.1367,77.6893,51.3509
16060.627,88.0264,59.8487,15666.3135,81.0005,58.4414,15280.1924,80.8773,57.2129,15280.1924,75.4514,49.17
